NumHiddenLayers,HiddenLayerSize,TrainingFn,Regularization,TrainingError,TestError,NumberOfEpochs,Out1Tar1,Out1Tar2,Out1Tar3,Out2Tar1,Out2Tar2,Out2Tar3,Out3Tar1,Out3Tar2,Out3Tar3
2,20,traingd,1,0.258159096180918,0.654841802492809,1000,0,5,16,323,249,260,8,71,111
2,20,traingda,0,0.741908393587439,0.349952061361457,1000,246,52,25,69,157,87,16,116,275
2,20,traingda,0.1,0.685658341014006,0.344199424736337,1000,245,52,26,65,152,74,21,121,287
2,20,traingda,0.2,0.610207949487937,0.361457334611697,1000,242,52,26,73,153,90,16,120,271
2,20,traingda,0.5,0.399795494694009,0.432406519654842,1000,239,63,29,32,36,41,60,226,317
2,20,traingda,1,9.47400391650374e-09,0.62895493767977,195,0,0,0,0,0,0,331,325,387
2,20,traingdm,0,0.813799049589769,0.494726749760307,1000,258,105,94,56,119,143,17,101,150
2,20,traingdm,0.1,0.763250950377641,0.496644295302013,1000,263,109,98,55,121,148,13,95,141
2,20,traingdm,0.2,0.712214964950038,0.496644295302013,1000,265,113,99,54,123,151,12,89,137
2,20,traingdm,0.5,0.55723429703158,0.520613614573346,1000,234,102,86,84,139,174,13,84,127
2,20,traingdm,1,0.258155370666082,0.654841802492809,1000,0,5,16,323,249,260,8,71,111
2,20,traingdx,0,0.733821017674882,0.337488015340364,1000,255,59,16,61,165,100,15,101,271
2,20,traingdx,0.1,0.681883146392627,0.337488015340364,1000,256,59,24,62,165,93,13,101,270
2,20,traingdx,0.2,0.611261513562506,0.339405560882071,1000,257,61,25,60,164,94,14,100,268
2,20,traingdx,0.5,0.388464543956946,0.380632790028763,1000,253,73,32,64,129,91,14,123,264
2,20,traingdx,1,7.57846935779529e-09,0.62895493767977,186,0,0,0,0,0,0,331,325,387
2,20,trainrp,0,0.716177847915332,0.353787152444871,1000,249,63,26,62,159,95,20,103,266
2,20,trainrp,0.1,0.67431302454159,0.344199424736337,1000,256,61,22,62,164,101,13,100,264
2,20,trainrp,0.2,0.603868864404051,0.341323106423778,1000,260,60,27,58,165,98,13,100,262
2,20,trainrp,0.5,0.388082402839067,0.37967401725791,1000,252,71,31,65,129,90,14,125,266
2,20,trainrp,1,1.45894705017589e-08,0.682646212847555,26,331,325,387,0,0,0,0,0,0
2,20,trainbfg,0,0.690457284803922,0.366251198465964,1000,240,50,21,65,173,118,26,102,248
2,20,trainbfg,0.1,0.667039828510539,0.336529242569511,1000,256,58,17,62,172,106,13,95,264
2,20,trainbfg,0.2,0.599797653146308,0.344199424736337,723,261,62,25,58,162,101,12,101,261
2,20,trainbfg,0.5,0.387934693466255,0.37967401725791,534,250,67,31,68,133,92,13,125,264
2,20,trainbfg,1,1.82439537950449e-31,0.688398849472675,1,0,0,0,331,325,387,0,0,0
2,20,trainbr,0,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,0.1,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,0.2,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,0.5,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,1,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
